mode,games,games_scored,games_finished,aborted_games,aborted_pct,max_steps_games,average_score,median_score,p90_score,max_score,average_steps,median_steps,average_max_tile,average_latency_ms,p50_latency_ms,p95_latency_ms,average_wall_clock_ms,invalid_move_rate,jev_calls,jev_rejections,tokens_in,tokens_out,reached_256_pct,reached_512_pct,reached_1024_pct,reached_2048_pct,reached_4096_pct,alternating_loop_rate,games_with_alternating_loop_rate,repeated_state_rate,games_with_repeated_state_rate,invalid_repetition_rate,games_with_invalid_repetition_rate,corner_break_rate,games_with_corner_break_rate,space_collapse_rate,games_with_space_collapse_rate,greedy_trap_rate,games_with_greedy_trap_rate,decision_stagnation_rate,games_with_decision_stagnation_rate,harness_desync_rate,games_with_harness_desync_rate,loop_rate
laya-board,8,8,0,0,0.0,8,29.5,12.0,66.4,128,200.0,200.0,6.5,84.3,82.7,99.8,92040.8,0.95,1600,0,328000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935,1.0,0.945,1.0,0.0006,0.125,0.0,0.0,0.0,0.0,0.9375,1.0,0.0,0.0,0.0
laya-state,8,8,0,0,0.0,8,6.5,6.0,10.4,16,200.0,200.0,3.8,107.1,106.2,120.9,98073.6,0.98,1600,0,459960,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9631,1.0,0.975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.0,0.0,0.0
laya-history,8,8,0,0,0.0,8,31.5,6.0,79.2,152,200.0,200.0,5.8,204.5,205.9,227.3,116272.1,0.9563,1600,0,922754,0,0.0,0.0,0.0,0.0,0.0,0.0044,0.125,0.9306,1.0,0.9425,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8825,1.0,0.0,0.0,0.0044
