mode,games,games_scored,games_finished,aborted_games,aborted_pct,max_steps_games,average_score,median_score,p90_score,max_score,average_steps,median_steps,average_max_tile,average_latency_ms,p50_latency_ms,p95_latency_ms,average_wall_clock_ms,invalid_move_rate,jev_calls,jev_rejections,tokens_in,tokens_out,reached_256_pct,reached_512_pct,reached_1024_pct,reached_2048_pct,reached_4096_pct,alternating_loop_rate,games_with_alternating_loop_rate,repeated_state_rate,games_with_repeated_state_rate,invalid_repetition_rate,games_with_invalid_repetition_rate,corner_break_rate,games_with_corner_break_rate,space_collapse_rate,games_with_space_collapse_rate,greedy_trap_rate,games_with_greedy_trap_rate,decision_stagnation_rate,games_with_decision_stagnation_rate,harness_desync_rate,games_with_harness_desync_rate,loop_rate
laya-features,8,8,0,0,0.0,8,37.0,42.0,59.6,68,200.0,200.0,9.0,113.3,111.4,125.7,97543.0,0.9419,1600,0,494400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9269,1.0,0.9363,1.0,0.0006,0.125,0.0,0.0,0.0,0.0,0.9269,1.0,0.0,0.0,0.0
laya-state-history,8,8,0,0,0.0,8,8.0,4.0,17.6,40,200.0,200.0,3.8,227.0,225.9,262.1,122203.1,0.9788,1600,0,1016468,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9594,1.0,0.9738,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9694,1.0,0.0,0.0,0.0
