mode,games,games_scored,games_finished,aborted_games,aborted_pct,max_steps_games,average_score,median_score,p90_score,max_score,average_steps,median_steps,average_max_tile,average_latency_ms,p50_latency_ms,p95_latency_ms,average_wall_clock_ms,invalid_move_rate,jev_calls,jev_rejections,tokens_in,tokens_out,reached_256_pct,reached_512_pct,reached_1024_pct,reached_2048_pct,reached_4096_pct,alternating_loop_rate,games_with_alternating_loop_rate,repeated_state_rate,games_with_repeated_state_rate,invalid_repetition_rate,games_with_invalid_repetition_rate,corner_break_rate,games_with_corner_break_rate,space_collapse_rate,games_with_space_collapse_rate,greedy_trap_rate,games_with_greedy_trap_rate,decision_stagnation_rate,games_with_decision_stagnation_rate,harness_desync_rate,games_with_harness_desync_rate,loop_rate
jev-board,12,12,0,0,0.0,12,22.7,18.0,49.6,72,300.0,300.0,6.7,432.8,337.4,902.2,246091.2,0.9725,3600,2,1861489,162000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9628,1.0,0.9681,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9625,1.0,0.0,0.0,0.0
jev-state,12,12,12,0,0.0,0,593.7,606.0,802.4,1004,86.6,87.5,64.0,519.3,392.4,1152.0,52569.5,0.0703,1039,5,648764,46755,0.0,0.0,0.0,0.0,0.0,0.0096,0.5,0.0212,0.8333,0.0154,0.5833,0.0029,0.0833,0.0058,0.25,0.0472,0.9167,0.001,0.0833,0.0,0.0,0.0096
jev-history,12,12,3,0,0.0,9,462.3,458.0,685.6,1036,261.7,300.0,53.3,487.2,362.6,967.6,209734.0,0.742,3140,20,3251627,141300,0.0,0.0,0.0,0.0,0.0,0.0006,0.0833,0.6841,1.0,0.7089,1.0,0.0016,0.25,0.0,0.0,0.0057,0.5,0.6086,1.0,0.0,0.0,0.0006
jev-features,12,12,5,0,0.0,7,3781.7,4282.0,4555.6,4564,272.6,300.0,373.3,425.5,354.4,779.0,134212.4,0.0,3271,25,3154253,147195,91.7,50.0,0.0,0.0,0.0,0.0086,0.75,0.0,0.0,0.0,0.0,0.0257,1.0,0.0003,0.0833,0.0186,1.0,0.0,0.0,0.0,0.0,0.0086
