mode,games,games_scored,games_finished,aborted_games,aborted_pct,max_steps_games,average_score,median_score,p90_score,max_score,average_steps,median_steps,average_max_tile,average_latency_ms,p50_latency_ms,p95_latency_ms,average_wall_clock_ms,invalid_move_rate,jev_calls,jev_rejections,tokens_in,tokens_out,reached_256_pct,reached_512_pct,reached_1024_pct,reached_2048_pct,reached_4096_pct,alternating_loop_rate,games_with_alternating_loop_rate,repeated_state_rate,games_with_repeated_state_rate,invalid_repetition_rate,games_with_invalid_repetition_rate,corner_break_rate,games_with_corner_break_rate,space_collapse_rate,games_with_space_collapse_rate,greedy_trap_rate,games_with_greedy_trap_rate,decision_stagnation_rate,games_with_decision_stagnation_rate,harness_desync_rate,games_with_harness_desync_rate,loop_rate
random,20,20,20,0,0.0,0,1010.0,922.0,1636.0,2160,112.5,103.5,100.8,0.0,0.0,0.0,8693.8,0.0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0049,0.3,0.0,0.0,0.0,0.0,0.004,0.2,0.0036,0.2,0.0378,0.95,0.0,0.0,0.0,0.0,0.0049
greedy,20,20,20,0,0.0,0,2984.8,3040.0,4252.4,4584,260.5,258.0,211.2,0.0,0.0,0.0,17182.0,0.0,0,0,0,0,65.0,0.0,0.0,0.0,0.0,0.0255,1.0,0.0,0.0,0.0,0.0,0.0155,0.95,0.0002,0.05,0.0096,0.7,0.0,0.0,0.0,0.0,0.0255
heuristic,20,20,20,0,0.0,0,5814.2,5870.0,7748.0,12152,404.2,402.5,460.8,0.0,0.0,0.0,25167.4,0.0,0,0,0,0,100.0,60.0,10.0,0.0,0.0,0.0177,0.95,0.0,0.0,0.0,0.0,0.0181,1.0,0.0001,0.05,0.0213,1.0,0.0,0.0,0.0,0.0,0.0177
